METHOD	ORGANISM SCORE (In silico, S. cereviciae, E. coli)	MEAN AUPR SCORE	MEAN AUROC SCORE	OVERALL SCORE


ARACNE_G	29.4757      3.73321  0.000198161      7.16739      14.9721      11.0697
ARACNE_S	36.6724      7.82866     0.948657      21.8727      8.42709      15.1499
CLR_G	58.1509      5.42394      1.31462      24.0184      19.2413      21.6298
CLR_S	51.2626      4.43934      1.81133         22.6      15.7422      19.1711
Pearson_G	22.1148       2.2366    0.0233839      5.63052      10.6194      8.12494
Pearson_S	34.7543      6.24105     0.782158      15.2107       12.641      13.9258
RelevanceNet_G	26.9079      4.89735   0.00676896      9.67993      11.5281       10.604
RelevanceNet_S	46.219      9.71395     0.138108      25.4768      11.9039      18.6904
Spearman_G	19.1838      2.12146  8.37715e-05      6.55935      7.64419      7.10177
Spearman_S	23.2193      4.49605     0.613536      11.5568      7.32915      9.44296
